"año" "x1" "x2" "x3" "x4" "x5" "x6" "x7" "x8" "x9" "x10" "x11"
"1" 2000 773.3 20.1 2.50781 2.00331 5.19541 NA NA NA 2.38 5.58 NA
"2" 2001 681.94 19.2 1.6838 0.65644 1.87009 NA NA NA 2.4 6.17 NA
"3" 2002 688.14 19.6 2.48556 0.62896 2.82076 NA NA NA 2.39 6.94 NA
"4" 2003 646.17 19.1 2.71134 NA 6.32999 59 NA NA 2.38 NA NA
"5" 2004 724.22 21.3 4.17329 NA 7.96771 59 NA NA 2.31 4.88 NA
"6" 2005 632.5 22.5 4.42143 NA 5.9408 49 NA NA 2.24 6.54 NA
"7" 2006 849.2 21.6 4.79701 NA 13.66368 49 NA NA 2.15 5.74 90.1
"8" 2007 940.2 22.2 4.56438 NA 7.37336 49 NA NA 2.09 5.95 NA
"9" 2008 1364.5 23.6 6.1485 0.15918 10.38118 49 NA NA 2 3.35 NA
"10" 2009 1352.9 24.4 3.357 NA -2.4199 49 NA NA 2.41 3.61 NA
"11" 2010 1187.9 22.9 4.12672 NA 8.77751 49 NA NA 2.16 NA 80.5
"12" 2011 1593.3 25.1 5.20409 0.1082 14.60235 49 NA NA 1.88 2.68 NA
"13" 2012 2128 25.9 5.12228 0.10552 7.10028 49 NA NA 1.5 2.79 NA
"14" 2013 1502 26.7 6.79601 NA 5.99539 49 NA NA 1.97 3 NA
"15" 2014 1809 27.9 5.46057 NA 2.0495 49 192 114 1.38 2.85 NA
"16" 2015 1827 29.5 4.85719 0.1686 -4.6206 49 192 114 2.56 3.79 NA
"17" 2016 1786 26.7 4.26392 NA -1.35487 45 192 114 3.1 4.03 NA
"18" 2017 1478 27.9 4.19521 NA 6.0614 41 144 114 3.35 4.05 78.9
"19" 2019 2166 30.1 2.21671 NA -0.693 39.5 144 114 3.39 4.38 NA
