"año" "x1" "x2" "x3" "x5" "x6"
"1" 2000 773.3 20.1 2.50781 5.19541 60
"2" 2001 681.94 19.2 1.6838 1.87009 59
"3" 2002 688.14 19.6 2.48556 2.82076 59
"4" 2003 646.17 19.1 2.71134 6.32999 59
"5" 2004 724.22 21.3 4.17329 7.96771 59
"6" 2005 632.5 22.5 4.42143 5.9408 49
"7" 2006 849.2 21.6 4.79701 13.66368 49
"8" 2007 940.2 22.2 4.56438 7.37336 49
"9" 2008 1364.5 23.6 6.1485 10.38118 49
"10" 2009 1352.9 24.4 3.357 -2.4199 49
"11" 2010 1187.9 22.9 4.12672 8.77751 49
"12" 2011 1593.3 25.1 5.20409 14.60235 49
"13" 2012 2128 25.9 5.12228 7.10028 49
"14" 2013 1502 26.7 6.79601 5.99539 49
"15" 2014 1809 27.9 5.46057 2.0495 49
"16" 2015 1827 29.5 4.85719 -4.6206 49
"17" 2016 1786 26.7 4.26392 -1.35487 45
"18" 2017 1478 27.9 4.19521 6.0614 41
"19" 2019 2166 30.1 2.21671 -0.693 39.5
